batch_id,job_id,time_subm,status,runtime,nb_gens,competition_sd,carrying_cap_sd,carrying_cap_opt,trait_opt,growth_rate,prob_mutation,mutation_sd,trait_dist_sp,switch_carr_cap_sd_after,switch_carr_cap_sd_to,seed,comrad_version,sampling_on_event,sampling_freq,sampling_frac,brute_force_opt,csv_size,t_last_gen,d_last_gen,n_last_gen
b11572,21501835,2021-09-25T16:55:24Z,COMPLETED,NA,120000,0.1,1,1000,0,1,1,0.001,0.1,NA,NA,3077,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501837,2021-09-25T16:55:27Z,COMPLETED,NA,142000,0.3,1,1000,0,1,1,0.001,0.1,NA,NA,23333,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501838,2021-09-25T16:55:27Z,COMPLETED,NA,120000,0.1,1,1000,0,1,1,0.001,0.1,NA,NA,45283,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501839,2021-09-25T16:55:27Z,COMPLETED,NA,86000,0.2,1,1000,0,1,1,0.001,0.1,NA,NA,2160,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501840,2021-09-25T16:55:27Z,COMPLETED,NA,142000,0.3,1,1000,0,1,1,0.001,0.1,NA,NA,46841,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501841,2021-09-25T16:55:27Z,COMPLETED,NA,120000,0.1,1,1000,0,1,1,0.001,0.1,NA,NA,27794,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501842,2021-09-25T16:55:27Z,COMPLETED,NA,86000,0.2,1,1000,0,1,1,0.001,0.1,NA,NA,3569,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501843,2021-09-25T16:55:30Z,COMPLETED,NA,142000,0.3,1,1000,0,1,1,0.001,0.1,NA,NA,405,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501844,2021-09-25T16:55:32Z,COMPLETED,NA,120000,0.1,1,1000,0,1,1,0.001,0.1,NA,NA,17748,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501846,2021-09-25T16:55:32Z,COMPLETED,NA,142000,0.3,1,1000,0,1,1,0.001,0.1,NA,NA,3787,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
